TF	Total genes	Activados	Reprimidos	Tipo	Lista de genes
GcvB	60	2	58	dual	acs, aroC, aroP, asd, asnA, asnB, csgD, csgE, csgF, csgG, cstA, cycA, dppA, dppB, dppC, dppD, dppF, gdhA, gltP, hisQ, icd, ilvB, ilvD, ilvL, ilvM, inaA, ivbL, kgtP, lrp, map, mltC, nlpA, oppA, oppB, oppC, oppD, oppF, oxyR, panD, phoP, phoQ, purU, rbn, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, rbsZ, sstT, tcyJ, trpA, trpB, trpC, trpD, trpE, trpL, ydeE, ysgA
GlaR	120	44	76	dual	alaE, apt, aroB, aroP, baeS, bdcA, bdcR, bssS, cadC, casA, chaA, chaB, chaC, csgI, cysN, cysS, dctR, dgcN, dinQ, elfC, fhuE, gabD, gabP, gabT, gadW, gadX, gcvA, gdhA, glaH, gltF, hinT, htrE, hxpA, idnD, idnK, inaA, kdgT, kdsA, ldcC, lhgD, lsrG, mglA, mrdA, murD, nlpA, orn, oxc, pdeG, pdhR, pdxA, phoH, pliG, ppiB, ppx, priC, prmC, rfbB, rhsD, rpiB, rpsF, rsgA, rssB, safA, sgcC, smg, tam, tar, tehA, ttdA, ttdR, yadN, ybaN, ycbU, ycbV, yccU, ycgJ, ycgV, ycgY, ychQ, yciU, ycjP, ydcK, ydeO, ydfI, ydfK, ydhS, yeaE, yehD, yehE, yehS, yfbN, yfbO, yfbU, yfcO, yfcV, yfdC, yfdV, yfiL, yfiR, yfjD, ygiV, ygiW, ygjI, yhcD, yidB, yigG, yihD, yihM, yjdP, yjfY, yjjP, yjjQ, ynaE, ynjH, yobD, yodB, ypdC, ypjA, yqhC, zraR
GlcC	7	6	1	dual	glcA, glcB, glcC, glcD, glcE, glcF, glcG
GlmZ	2	2	0	activador	glmS, glmU
GlnZ	2	0	2	represor	glnP, sucA
GlpR	9	0	9	represor	glpA, glpB, glpC, glpD, glpF, glpK, glpQ, glpT, glpX
GlrR	6	6	0	activador	glmY, rpoE, rseA, rseB, rseC, rseD
GntR	12	0	12	represor	eda, edd, gntK, gntT, gntU, idnD, idnK, idnO, idnR, idnT, nfuA, yhgH
GutM	7	7	0	activador	gutM, gutQ, srlA, srlB, srlD, srlE, srlR
H-NS	239	49	190	dual	acrE, acrF, adeD, adiA, adiC, adiY, alaU, alaV, appY, ascF, ascG, asr, bglB, bglF, bglG, bglJ, bluF, bolA, cadA, cadB, cadC, caiA, caiB, caiC, caiD, caiE, caiF, caiT, cas1, cas2, casA, casB, casC, casD, casE, cbpA, cdgI, chiA, cmoM, csgD, csgE, csgF, csgG, csiE, cspA, cspD, cycA, cydA, cydB, cysA, cysG, cysM, cysP, cysU, cysW, dctR, ddlA, degP, dgcJ, dgcT, dgcZ, dosC, dps, elfA, entF, evgA, evgL, evgS, fau, fepE, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimR2, flhC, flhD, fliA, fliC, fliX, fliZ, ftnA, fucA, gabD, gabP, gabT, gadA, gadB, gadC, gadE, gadF, gadW, gadX, galE, galK, galM, galT, garK, garL, garP, garR, glaH, gltT, gltU, gltW, glvC, gspA, gspB, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gspO, gutM, gutQ, hchA, hdeA, hdeB, hdeD, hdfR, hisJ, hisM, hisP, hisQ, hns, hprR, ileU, ileV, ilvH, ilvI, iraP, lacA, lacY, lacZ, leuO, lhgD, lrp, malE, malF, malG, malH, mazE, mazF, mdtE, mdtF, mdtI, mdtJ, mdtU, micF, mukB, mukE, mukF, nhaA, nhaR, nirB, nirC, nirD, nrdA, nrdB, nrdD, nrdG, osmC, oxc, pagP, pdeC, pdeF, pdeG, pdeI, pdeL, proV, proW, proX, rcsA, rcsB, rcsD, relA, rflP, rnpB, rrfB, rrfC, rrfD, rrfF, rrfG, rrfH, rrlB, rrlC, rrlD, rrlG, rrlH, rrsB, rrsC, rrsD, rrsG, rrsH, sfmA, slp, srlA, srlB, srlD, srlE, srlR, ssrS, stpA, tcyJ, thrV, ttdR, yadC, ybdZ, ybgD, yciE, yciF, yciG, ydcC, ydeO, ydeP, yehA, yehB, yehC, yehD, yfaE, yfcV, yhiD, yhiM, yjjP, yjjQ, yraH
HU	9	1	8	dual	galE, galK, galM, galT, micF, mtr, pgm, seqA, tyrP
HcaR	7	5	2	dual	hcaB, hcaC, hcaD, hcaE, hcaF, hcaR, iroK
HdfR	6	4	2	dual	flhC, flhD, gltB, gltD, gltF, maoP
Hfq	6	1	5	dual	cirA, hpf, manX, mutS, oppA, ptsN
HicB	2	0	2	represor	hicA, hicB
HigA	2	0	2	represor	higA, higB
HigBA	2	0	2	represor	higA, higB
HipAB	5	0	5	represor	hipA, hipB, mazE, mazF, relA
HipB	8	0	8	represor	eutA, eutH, fadH, hipA, hipB, mazE, mazF, relA
HprR	14	9	5	dual	cusA, cusB, cusC, cusF, cusR, cusS, cyoA, cyoB, cyoC, cyoD, cyoE, hiuH, msrP, msrQ
HyfR	12	12	0	activador	focB, hyfA, hyfB, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR
HypT	13	8	5	dual	cydA, cydB, cysH, fecA, fecB, fecC, fecD, fecE, metB, metI, metL, metN, metQ
IHF	207	142	65	dual	aceA, aceB, aceK, acs, actP, adiA, amiA, atoA, atoB, atoD, atoE, csgD, csgE, csgF, csgG, csrB, cycA, cysH, cysI, cysJ, dcuD, dmsA, dmsB, dmsC, dppA, dppB, dppC, dppD, dppF, dps, dusB, envZ, fhlA, fimA, fimB, fimC, fimD, fimF, fimG, fimH, fimI, fimR2, fis, flhC, flhD, fliA, fliZ, fnr, focA, folA, gcd, glcA, glcB, glcD, glcE, glcF, glcG, glmY, glnH, glnP, glnQ, glpQ, glpT, gltA, gltB, gltD, gltF, hemA, hemF, hipA, hipB, hpt, htrE, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hycI, hypA, hypB, hypC, hypD, hypE, ibpB, icd, ihfA, ihfB, lyxK, micF, mtr, narG, narH, narI, narJ, narK, narS, ndh, nmpC, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, ompC, ompR, osmE, osmY, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, paaZ, pflB, phoU, plaR, prfA, prmC, proV, proW, proX, pspA, pspB, pspC, pspD, pspE, pspG, pspH, pstA, pstB, pstC, pstS, rpoE, rpoH, rseA, rseB, rseC, rseD, rtcA, rtcB, sdhX, sgbE, sgbH, sgbU, sodA, sodB, sra, sucA, sucB, sucC, sucD, sufA, sufB, sufC, sufD, sufE, sufS, tcyJ, tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG, tyrP, ubiA, ubiC, ulaA, ulaB, ulaC, ulaD, ulaE, ulaF, ulaG, uspA, uspB, yadV, yeiL, yiaK, yiaL, yiaM, yiaN, yiaO, yjbE, yjbF, yjbG, yjbH, yjcH
IclR	4	0	4	represor	aceA, aceB, aceK, iclR
IdnR	7	5	2	dual	gntK, gntU, idnD, idnK, idnO, idnR, idnT
IlvY	2	1	1	dual	ilvC, ilvY
IscR	33	11	22	dual	erpA, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, iscA, iscR, iscS, iscU, napA, napB, napC, napD, napF, napG, napH, nfuA, nrdE, nrdF, nrdH, nrdI, rnlA, rnlB, selO, sufA, sufB, sufC, sufD, sufE, sufS, torT
IstR-1	1	0	1	represor	tisB
KdgR	2	0	2	represor	eda, edd
KdpE	9	6	3	dual	adeP, kdpA, kdpB, kdpC, kdpF, rmf, rsd, uxaA, uxaC
LacI	3	0	3	represor	lacA, lacY, lacZ
LeuO	23	17	6	dual	bglB, bglF, bglG, bglJ, cadC, cas1, cas2, casA, casB, casC, casD, casE, dsrA, gltF, leuA, leuB, leuC, leuD, leuL, ybeQ, yghR, yghS, yjjQ
LexA	63	0	63	represor	cho, ddlB, dinB, dinD, dinF, dinG, dinI, dinJ, dinQ, dnaG, ftsA, ftsI, ftsK, ftsL, ftsO, ftsQ, ftsW, ftsZ, hokE, insK, lexA, lpxC, mraY, murC, murD, murE, murF, murG, phr, polB, ptrA, recA, recB, recD, recN, recQ, recX, rpoD, rpsU, ruvA, ruvB, sbmC, ssb, sulA, symE, tisB, umuC, umuD, uvrA, uvrB, uvrC, uvrD, uvrY, yafN, yafO, yafP, yafQ, ybfE, ybiB, ydjM, yebG, yehF, yoaA
LldR	8	8	0	activador	fadE, fadL, gadW, gadY, glcD, lpxP, yfdY, yhcO
LrhA	5	3	2	dual	fimE, flhC, flhD, leuO, lrhA
Lrp	310	130	180	dual	aceB, aer, aidB, alaS, alaT, alaU, alaV, amiC, aphA, arcB, argA, argO, argS, argT, asnA, asnB, aspC, aspS, atpA, atpH, bipP, borD, brnQ, bssS, btuE, cadA, cadB, can, cbl, chbG, clpP, clpS, cpoB, creA, cycA, cydC, cysB, dadX, deaD, dedA, deoB, dgcJ, dgcQ, dgcZ, dhaK, dtpA, dtpB, eco, emrD, eno, eptB, exbB, fadL, fau, fimA, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimR2, frdA, frdB, ftsQ, fumA, gabD, gabP, gabT, gadB, gadY, gcvH, gcvP, gdhA, glaH, glgC, glnA, glnH, glnK, glnL, glnQ, gltB, gltD, gltF, gltP, gltT, gltU, gltV, gltW, gpt, groS, hdeA, hdeB, hlyE, hpf, hspQ, htrE, ibpA, ibpB, ileT, ileU, ileV, ilvA, ilvD, ilvE, ilvG, ilvM, ilvX, insC5, insH3, intZ, iraD, iraP, ldhA, leuE, leuL, lhgD, lipA, livF, livG, livH, livM, lolA, lolC, lpxL, lrhA, lrp, lysU, malT, manA, menA, metH, metK, metT, micF, mnmA, modA, mqo, msbA, mscK, mscS, mtr, mutY, nac, napF, nuoA, nusB, ompC, ompT, oppA, oppB, oppC, oppD, oppF, osmY, pabB, pal, pepD, pgl, phoA, phoH, pncB, pntA, polA, ppk, ppsA, prlF, proP, pspG, ptsN, purT, pyrI, qseB, radD, rdcA, relA, rhtB, ribE, rlmE, rpiA, rpiB, rplF, rpoN, rpsH, rrfA, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rsd, rseA, sad, sdaA, sdaC, serB, serS, slyX, soxS, sroH, ssrS, sstT, sthA, stpA, sulA, tdh, thiC, thrL, thrV, topA, treA, trhO, trxB, ubiA, upp, uspE, wecB, yaaX, yabQ, yacL, yaeQ, yagU, yaiY, ybdF, ybdG, ybdL, ybeX, ybgA, ybiI, ybiJ, ybiO, ybiT, ybjN, ybjS, ybjX, ycaM, yceB, ycfJ, ychE, yciN, yciT, yciZ, ydcK, ydcL, ydeE, ydeN, ydgH, ydhQ, yeaE, yeaG, yebF, yehL, yeiL, yfaP, yfcC, yfcZ, yfiB, yhbY, yhcN, yhdN, yhdV, yhdW, yhhA, yhiD, yhiM, yhjE, yhjR, yiaG, yibL, yibT, yicH, yiiM, yjbJ, yjbQ, yjbR, yjeH, yjeM, yjfP, yjiC, ykgE, ynjH, yoaH, yodC, yoeG, yojI, yqeF, yqeG, ytfK, ytjB, yzgL, zipA, zitB, zntR
LsrR	9	0	9	represor	lsrA, lsrB, lsrC, lsrD, lsrF, lsrG, lsrK, lsrR, tam
LysR	2	1	1	dual	lysA, lysR
MalH	1	0	1	represor	ompC
MalI	3	0	3	represor	malI, malX, malY
MalT	11	11	0	activador	lamB, malE, malF, malG, malH, malK, malM, malP, malQ, malS, malZ
MarA	60	49	11	dual	acnA, acrA, acrB, acrZ, aldA, ariR, dapD, dctR, decR, fpr, fumC, glnD, hdeA, hdeB, inaA, lacA, lacY, lacZ, lpxC, lpxL, map, marA, marB, marR, mdaB, micF, mlaB, mlaC, mlaD, mlaE, mlaF, nfo, nfsA, nfsB, pbpG, poxB, pqiA, pqiB, pqiC, purA, putA, rimK, rob, slp, sodA, tolC, waaY, waaZ, xseA, ybjC, ybjN, ycgZ, ygiB, ygiC, yhbW, yhiD, ymgA, ymgC, yncE, zwf
MarR	3	0	3	represor	marA, marB, marR
MatA	9	2	7	dual	ecpA, flhC, flhD, fliA, fliC, fliX, fliZ, matA, tcyJ
MazE	3	0	3	represor	mazE, mazF, mazG
MazEF	3	0	3	represor	mazE, mazF, mazG
McaS	6	2	4	dual	csgD, csgE, csgF, csgG, flhC, flhD
McbR	6	5	1	dual	mcbA, rmf, rsd, yciE, yciF, yciG
MetJ	15	0	15	represor	ahpC, ahpF, folE, metA, metB, metC, metE, metF, metI, metK, metL, metN, metQ, metR, yeiB
MetR	4	3	1	dual	hmp, metE, metH, metR
MgrR	4	0	4	represor	eptB, pitA, soxS, ygdQ
MhpR	6	6	0	activador	mhpA, mhpB, mhpC, mhpD, mhpE, mhpF
MicA	18	0	18	represor	cpoB, ecnB, fimB, gloA, lamB, ldtC, lpxT, ompA, ompW, ompX, pal, phoP, phoQ, tolB, tsx, yfeK, ygiM, yliM
MicC	1	0	1	represor	ompC
MicF	7	1	6	dual	cpxA, cpxR, lrp, ompF, oppA, phoE, tcyJ
MicL	1	0	1	represor	lpp
Mlc	10	0	10	represor	bidA, crr, malT, manX, manY, manZ, mlc, ptsG, ptsH, ptsI
MlrA	10	10	0	activador	cadC, csgD, csgE, csgF, csgG, ibaG, obgE, rplU, rpmA, yhbE
MngR	3	0	3	represor	mngA, mngB, mngR
MntR	5	1	4	dual	dps, mntH, mntP, mntS, rybA
ModE	46	31	15	dual	ccmA, ccmB, ccmC, ccmD, ccmE, ccmF, ccmG, ccmH, deoA, deoB, deoC, deoD, dmsA, dmsB, dmsC, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hycI, moaA, moaB, moaC, moaD, moaE, modA, modB, modC, napA, napB, napC, napD, napF, napG, napH, narL, narX, oppA, oppB, oppC, oppD, oppF
MotR	12	12	0	activador	fliC, rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpsC, rpsJ, rpsQ, rpsS
MprA	6	0	6	represor	acrA, acrB, emrA, emrB, mprA, nmpC
MqsA	13	0	13	represor	csgD, csgE, csgF, csgG, cspD, lfgA, lfgB, mqsA, mqsR, rpoS, yfjZ, ypjF, ypjJ
MraZ	18	0	18	represor	ddlB, ftsA, ftsI, ftsL, ftsO, ftsQ, ftsW, ftsZ, lpxC, mioC, mraY, mraZ, murC, murD, murE, murF, murG, rsmH
MurR	2	0	2	represor	murP, murQ
Nac	529	162	367	dual	abgA, abgR, abpA, aceB, ackA, acrE, ahpC, alaC, allR, allW, amiB, amn, ampD, ansB, ansP, araE, araF, argO, argU, aroD, aroE, aroF, asnA, asnC, asnT, asnV, bfd, bfr, bglB, bglH, bglX, bidA, bisC, blc, bssS, caiF, cbrB, cbrC, ccmA, ccmB, ccmH, cdaR, cfa, cheA, cho, chpS, cmtA, cmtB, cobT, cobU, codA, codB, cpdB, csiE, cspC, curA, cycA, cynR, cynT, cysJ, cysQ, cysS, dadA, dapB, dcm, dcp, dcyD, ddlA, ddpC, deoR, dgcT, dhaK, dhaR, dinJ, dkgA, dld, dnaA, dpaA, dsbA, dsbG, eamA, ecnA, ecnB, elfA, elfG, emrK, eptA, eutS, evgA, exuT, fcl, fdhD, fdoG, feaB, fepE, fhuF, fklB, fliC, fliD, ftnB, fucA, fumD, gabD, gabP, gabT, gadE, gadX, gcvT, gdhA, glaR, glcA, glnD, glpK, gltA, gltB, gltD, gltP, glxK, gmd, gmk, gor, greB, groS, gspG, gspH, gspM, gspO, gudX, hcaE, hcaR, hchA, hemB, hemH, hemN, hfq, hofC, holE, hprR, htpG, htpX, htrE, hupA, hxpB, iaaA, ibpA, icd, ileY, ilvL, ilvN, infA, insK, intD, iraP, ispB, ispD, ivy, katG, kbaY, kbl, kdgR, kdsA, kduI, lapC, lepA, lepB, leuL, leuO, leuU, ligB, livH, livK, livM, lpxH, lrp, lysA, lysP, lysR, lysU, macA, malI, malY, map, marR, mcbA, mcrB, mdtF, mdtG, metE, metR, metY, mglA, mglB, mgtS, micC, mioC, mnmG, mntH, moaB, moaC, mobA, moeA, mreC, mscL, msrA, mtfA, nac, nadC, nadD, nanK, napB, napC, narK, narX, nfrB, nlpE, nrdG, nrfF, nrfG, nudC, nudG, nusA, nusB, ompA, ompN, ompR, ompT, oppA, oppC, ortT, osmB, osmY, pabC, patD, pdeC, pdeF, pdeL, pdxK, pfkB, pgaA, phoB, phoH, pinQ, pinR, pitB, pldA, pntA, pntB, polA, ppc, ppdC, pphB, ppiB, ppnN, prfC, prmB, pstC, pstS, ptrA, pyrB, pyrL, queD, queF, rcsA, rep, rfaH, rfbB, rfbC, rflP, rhtA, rimP, rlmF, rlmM, rluE, rnlB, rplU, rpmH, rpoZ, rsd, rsmF, rutB, sbcD, scpB, sdaA, sdhA, sdhB, sdhC, sdhD, sdiA, secG, selC, serA, shiA, shoB, sibA, sibE, spf, srlR, srsR, ssuE, stfR, tauA, tdcA, tdcR, tfaQ, tfaR, tff, thiL, thrS, tnaA, tnaB, tnaC, tolB, tomB, torA, torI, trxB, ubiA, ubiT, ubiU, ugd, uhpA, uspA, uspC, uspG, uvrY, uxaC, waaF, waaG, wcaE, wcaF, wecH, wrbA, wza, wzb, wzc, wzzE, xapR, xdhA, yadC, yadM, yaeF, yafC, yafN, yafO, yafQ, yafV, yagU, yaiS, yaiY, yaiZ, yajD, yajO, ybaL, ybbC, ybcK, ybcV, ybdR, ybeQ, ybeR, ybeT, ybeU, ybfC, ybgC, ybgE, ybhD, ybhH, ybhI, ybhM, ybjP, ybjX, ycaC, ycaD, ycaK, ycaN, yccM, ycgB, ycgJ, ycgV, ycgX, ychA, yciZ, ydaT, ydaU, ydcI, ydcS, ydcT, ydcU, ydcV, ydcY, ydcZ, ydeE, ydeP, ydeQ, ydfK, ydfR, ydgH, ydiB, ydiL, ydiM, ydiO, ydiP, ydiY, yebQ, yecD, yecE, yecF, yedL, yeeZ, yegH, yegL, yegR, yehE, yeiE, yeiH, yejB, yejG, yfaE, yfbK, yfbL, yfbV, yfcO, yfcP, yfdE, yfdV, yfeK, yfeS, yfgG, yfgH, yfhL, yfiL, yfiR, yfjI, ygaC, ygaM, ygaP, ygaV, ygaZ, ygcE, ygcO, ygcP, ygcS, ygdB, ygdR, ygeG, yggP, yghG, yghS, yghT, ygiF, ygiL, ygiM, ygiN, ygiZ, ygjH, ygjI, yhaB, yhaI, yhbX, yhcA, yhcC, yhcD, yhdV, yhfL, yhfZ, yhhQ, yhhZ, yhiJ, yhjD, yhjE, yiaD, yicJ, yidQ, yieE, yieH, yieP, yifB, yigI, yigL, yihD, yihL, yihO, yihQ, yiiE, yiiF, yijO, yjaH, yjbB, yjbQ, yjcB, yjcF, yjcO, yjeH, yjeJ, yjeM, yjfZ, yjgH, yjgM, yjgN, yjhI, ykgE, ykgH, ykgL, ymjA, ynaK, yneK, ynfA, ynfB, ynfD, ynfE, ynfF, ynfG, yniB, ynjF, ynjH, yobB, yobF, yoeB, yohO, yqeB, yqeH, yqeJ, yqeK, yraH, yrhB, ytfB, ytfJ, ytfK, ytfP, znuA
NadR	4	0	4	represor	nadA, nadB, pncB, pnuC
NagC	33	1	32	dual	chbA, chbB, chbC, chbF, chbG, chbR, chiP, chiQ, chiZ, creA, creB, creC, creD, crr, dinI, fimB, galP, manX, manY, manZ, nagA, nagB, nagC, nagE, nanC, nanM, nanS, ptsH, ptsI, umpH, ydeM, ydeN, ydeP
NanR	11	1	10	dual	fimB, nanA, nanC, nanE, nanK, nanM, nanQ, nanS, nanT, nanX, nanY
NarL	119	38	81	dual	adhE, aspA, aspX, caiF, ccmA, ccmB, ccmC, ccmD, ccmE, ccmF, ccmG, ccmH, citC, citD, citE, citF, citG, citX, cydC, cydD, cysG, dcuA, dcuB, dcuR, dcuS, dmsA, dmsB, dmsC, dmsD, dpiA, dpiB, fdhF, fdnG, fdnH, fdnI, focA, frdA, frdB, frdC, frdD, fumB, hcp, hcr, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, hybA, hybB, hybC, hybD, hybE, hybF, hybG, hybO, moeA, moeB, napA, napB, napC, napD, napF, napG, napH, narG, narH, narI, narJ, narK, narS, nikA, nikB, nikC, nikD, nikE, nikR, nirB, nirC, nirD, norV, norW, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, ogt, ompW, pflB, poxB, torA, torC, torD, ubiA, ubiC, ydeP, ydhT, ydhU, ydhV, ydhW, ydhX, ydhY, yeaR, ynfE, ynfF, ynfG, ynfH, yoaG, ytfE
NarP	36	18	18	dual	cysG, fdhF, fdnG, fdnH, fdnI, hcp, hcr, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, nirB, nirC, nirD, norV, norW, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, poxB, ydeP, ydhT, ydhU, ydhV, ydhW, ydhX, ydhY, yeaR, yoaG, ytfE
NemR	3	0	3	represor	gloA, nemA, nemR
NfeR	2	0	2	represor	nfeF, nfeR
NhaR	37	20	17	dual	alaU, alaV, gltT, gltU, gltV, gltW, ileU, ileV, nhaA, nhaR, osmC, pgaA, pgaB, pgaC, pgaD, rmf, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rsd, thrV
NikR	6	0	6	represor	nikA, nikB, nikC, nikD, nikE, nikR
NimR	2	0	2	represor	nimR, nimT
NorR	3	2	1	dual	norR, norV, norW
NrdR	9	0	9	represor	nrdA, nrdB, nrdD, nrdE, nrdF, nrdG, nrdH, nrdI, yfaE
NsrR	86	2	84	dual	aceE, aceF, bamE, bdcA, cdd, dkgB, dsdC, feaB, feaR, fhlA, fliA, fliZ, grxD, hcp, hcr, hmp, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hycI, hypA, hypB, hypC, hypD, hypE, ihfA, infC, lrp, mepH, mhpT, moeA, moeB, ndh, norR, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, pgpC, pheM, pheS, pheT, poxB, rffC, rffG, rffH, rffM, rplT, rpmI, rybB, sodB, sufA, sufB, sufC, sufD, sufE, sufS, tadA, tcyJ, tehA, tehB, thrS, tsgA, waaH, wecA, wecB, wecC, wecE, wecF, wzxE, wzyE, wzzE, ydbD, yeaE, yeaR, ygbA, yoaG, ytfE
NtrC	45	44	1	dual	amtB, argT, astA, astB, astC, astD, astE, cbl, ddpA, ddpB, ddpC, ddpD, ddpF, ddpX, glnK, hisJ, hisM, hisP, hisQ, nac, patA, potF, potG, potH, potI, relA, rpoE, rseA, rseB, rseC, rseD, rutA, rutB, rutC, rutD, rutE, rutF, rutG, yeaE, yeaG, yeaH, yhdW, yhdX, yhdY, yhdZ
OhsC	1	0	1	represor	shoB
OmpR	56	29	27	dual	acrR, alx, bolA, cadA, cadB, cadC, copA, csgD, csgE, csgF, csgG, csgI, dtpA, ecnB, exoX, fadE, fadL, feoA, feoB, feoC, flhC, flhD, galP, gmhA, htpX, lpp, malE, micF, narU, narV, narW, narY, narZ, nmpC, nuoN, ompC, ompX, omrA, omrB, pdhR, pgaA, pgaB, pgaC, pgaD, potE, queE, rhtA, rob, speF, speFL, sra, sstT, tolC, tsgA, yobB, znuA
OmrA	12	0	12	represor	cirA, csgD, csgE, csgF, csgG, dgcM, fepA, flgM, flhC, flhD, ompR, ompT
OmrB	12	0	12	represor	cirA, csgD, csgE, csgF, csgG, dgcM, fepA, flgM, flhC, flhD, ompR, ompT
OxyR	44	32	12	dual	ahpC, ahpF, ccp, dps, dsbG, fhuF, flu, fur, gntP, gor, grxA, hcp, hcr, hemF, hemH, isrC, katG, metE, metR, mntH, nfsA, oxyR, oxyS, poxB, rimK, sufA, sufB, sufC, sufD, sufE, sufS, trxC, uof, uxuA, uxuB, xthA, ybjC, ybjN, ychF, yjjZ, zinT, znuA, znuB, znuC
OxyS	10	4	6	dual	fhlA, flhC, flhD, iscA, iscR, iscS, iscU, mepS, nusG, rpoS
PaaX	14	0	14	represor	paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, paaX, paaY, paaZ
PdeL	9	2	7	dual	fliF, fliG, fliH, fliI, fliJ, fliK, pdeL, wecA, yghJ
PdhR	54	16	38	dual	aceE, aceF, acpP, cyoA, cyoB, cyoC, cyoD, cyoE, ddlB, fadE, fadH, fadL, fadM, fecA, fecB, fecC, fecD, fecE, ftsA, ftsI, ftsL, ftsO, ftsQ, ftsW, ftsZ, fumD, glcA, glcB, glcD, glcE, glcF, glcG, gmhA, grcA, hemL, hha, lldP, lpd, lpxC, mraY, mraZ, murC, murD, murE, murF, murG, ndh, pdhR, ppsA, ppsR, rsmH, tomB, ybcV, ybcW
PepA	3	0	3	represor	carA, carB, pepA
PgrR	9	0	9	represor	mpaA, mppA, tyrR, ycjF, ycjG, ycjX, ycjY, ymjC, ymjD
PhoB	60	52	8	dual	adiC, agp, amn, argP, asr, cra, cusA, cusB, cusC, cusF, cusR, cusS, eda, feaR, gadW, gadX, hiuH, mipA, msrP, msrQ, ompF, phnC, phnD, phnE1, phnF, phnG, phnH, phnI, phnJ, phnK, phnL, phnM, phnN, phnO, phnP, phoA, phoB, phoE, phoH, phoQ, phoR, phoU, pitB, prpR, psiE, psiF, pstA, pstB, pstC, pstS, rcdB, rspR, sbcC, sbcD, tktB, waaH, yegH, yibT, yoaI, ytfK
PhoP	57	46	11	dual	acrA, acrB, argD, borD, clpS, cysB, dcuD, fadL, gadE, gadF, gadW, glgA, glgB, glgC, glgP, glgX, hdeA, hdeB, hdeD, hemL, iraM, malS, metB, metL, mgrB, mgrR, mgtA, mgtL, mgtS, nagA, ompT, pagP, purD, purH, queE, rmf, rsd, rstA, rstB, rutA, rutB, rutC, rutD, rutE, rutF, rutG, ryjB, safA, tolC, treR, ybjG, ydeO, ydeP, ygiB, ygiC, yhiD, yrbL
PlaR	14	0	14	represor	eda, glpA, glpT, lyxK, plaR, sgbE, sgbH, sgbU, ygjV, yiaK, yiaL, yiaM, yiaN, yiaO
Pnp	1	0	1	represor	pnp
PrpR	5	4	1	dual	prpB, prpC, prpD, prpE, prpR
PspF	8	7	1	dual	pspA, pspB, pspC, pspD, pspE, pspF, pspG, pspH
PtrR	13	6	7	dual	acrA, acrB, acrR, gabD, gadA, gadB, glsB, puuA, puuB, puuC, puuE, sad, yneG
PunR	1	1	0	activador	punC
PurR	32	0	32	represor	carA, carB, codA, codB, cvpA, gcvH, gcvP, gcvT, glnB, glyA, guaA, guaB, hflD, prs, purA, purB, purC, purD, purE, purF, purH, purK, purL, purM, purN, purR, purT, pyrC, pyrD, speA, speB, ubiX
PutA	2	0	2	represor	putA, putP
PuuR	8	0	8	represor	puuA, puuB, puuC, puuD, puuE, puuP, puuR, ymjE
PyrR	1	1	0	activador	yhjX
QseB	13	12	1	dual	dnaA, fimA, fimC, fimD, fimF, fimG, fimH, fimI, fimR2, flhC, flhD, qseB, qseC
RacR	6	0	6	represor	rzpR, ydaS, ydaT, ydaU, ydaV, ydaW
RalA	1	0	1	represor	ralR
RbsR	12	3	9	dual	add, dcd, purD, purH, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, rbsZ, udk
RcdA	14	10	4	dual	asr, bluF, csgD, csgE, csgF, csgG, rcdA, rmf, rsd, sulA, yagK, ybjI, ybjJ, ydeI
RclR	3	3	0	activador	rclA, rclB, rclC
